normalized_form	token_count	text_count	texts	variants	lemmas	best_gloss_hint	examples	review_action	review_note
destru	2	2	kauge-nyerib-u-hyeni:1; kauge-nyerib-u-sivani:1	destru; dé̱stru.; dé̱stru,	destru	hand	kauge-nyerib-u-hyeni:h09_l09:1 destru = hand | kauge-nyerib-u-sivani:s06_l02:5 destru = hand	needs_review	not_reviewed
eskere	2	2	ali-agha-ladi-kelhani:1; kauge-nyerib-u-sivani:1	êskêrê; eskére; Eskêrê; E̱skére	eskere	army	ali-agha-ladi-kelhani:a01_l09:2 êskêrê = army | kauge-nyerib-u-sivani:s03_l07:6 Eskêrê = army	needs_review	not_reviewed
eyste	2	2	goin-puhu-kusunun-hikayesi:1; uc-kardes-masali:1	êyştê; eíšte; eíšte	eiste	threw	goin-puhu-kusunun-hikayesi:g04_l04:5 êyştê = threw | uc-kardes-masali:tb09_l13:3 êyştê = threw	needs_review	not_reviewed
hyeris	2	2	gespraech-mit-hassan:1; kauge-nyerib-u-hyeni:1	Hyêris; Hyéris; Hyéris	hyeris	thirty	gespraech-mit-hassan:h01_l06:0 Hyêris = thirty | kauge-nyerib-u-hyeni:h05_l10:9 Hyêris = thirty	needs_review	not_reviewed
kerdini	2	2	kauge-nyerib-u-hyeni:1; kauge-nyerib-u-sivani:1	kêrdini; kerdíni.; kerdíni,	kerdini	was doing; you fought	kauge-nyerib-u-hyeni:h01_l03:9 kêrdini = was doing | kauge-nyerib-u-sivani:s01_l12:11 kêrdini = you fought	needs_review	not_reviewed
law	2	2	degirmenci-ve-tilki:1; uc-kardes-masali:1	law; lau; lau-	lau	mouth; lips	degirmenci-ve-tilki:mf05_l01:1 law = mouth | uc-kardes-masali:tb04_l13:9 law = lips	needs_review	not_reviewed
medi	2	2	kauge-nyerib-u-hyeni:1; kauge-nyerib-u-sivani:1	medi; mé̱di,; mêdi; médi	medi	do not let; -Ahmed	kauge-nyerib-u-hyeni:h05_l08:5 medi = do not let | kauge-nyerib-u-sivani:s01_l06:0 mêdi = -Ahmed	needs_review	not_reviewed
merdwomi	2	2	ali-agha-ladi-kelhani:1; uc-kardes-masali:1	merdwomi; mē̱rduó̤mi; me̱rduómi	merduomi	people	ali-agha-ladi-kelhani:a03_l09:6 merdwomi = people | uc-kardes-masali:tb03_l06:9 merdwomi	needs_review	not_reviewed
min	2	2	kauge-nyerib-u-hyeni:1; uc-kardes-masali:1	min	min	1SG	kauge-nyerib-u-hyeni:h01_l08:3 min = 1SG | uc-kardes-masali:tb04_l09:4 min = 1SG	needs_review	not_reviewed
nemac	2	2	degirmenci-ve-tilki:1; goin-puhu-kusunun-hikayesi:1	nêmac; nemā́d̮; nemā́d̮	nemad	prayer	degirmenci-ve-tilki:mf05_l03:6 nêmac = prayer | goin-puhu-kusunun-hikayesi:g04_l08:4 nêmac = prayer	needs_review	not_reviewed
nyebi	2	2	degirmenci-ve-tilki:1; uc-kardes-masali:1	nyêbi; ńébī,	nebi	there was not; was not	degirmenci-ve-tilki:mf01_l01:3 nyêbi = there was not | uc-kardes-masali:tb01_l01:3 nyêbi = was not	needs_review	not_reviewed
nyeverdanu	2	2	kauge-nyerib-u-sivani:1; uc-kardes-masali:1	nyêvêrdanu; ńeverdā́nu.; nyêverdanu; ńeve̱rdā́nu,	ne-	NEG; spare/leave	kauge-nyerib-u-sivani:s04_l03:7 nyêvêrdanu = NEG; spare/leave | uc-kardes-masali:tb07_l09:0 nyêverdanu = NEG; spare/leave	needs_review	not_reviewed
pangc	2	2	degirmenci-ve-tilki:1; gespraech-mit-hassan:1	pangc; paṅd̮; pāṅd̮	pand	five	degirmenci-ve-tilki:mf02_l14:7 pangc = five | gespraech-mit-hassan:h02_l14:6 pangc = five	needs_review	not_reviewed
rawt	2	2	kauge-nyerib-u-sivani:1; uc-kardes-masali:1	rawt; raút,; raút,	raut	took	kauge-nyerib-u-sivani:s06_l04:0 rawt = took | uc-kardes-masali:tb04_l02:0 rawt = took	needs_review	not_reviewed
rema	2	2	kauge-nyerib-u-hyeni:1; kauge-nyerib-u-sivani:1	rêma; remā́.; rema; re̱mā́,	rema	fled	kauge-nyerib-u-hyeni:h05_l11:8 rêma = fled | kauge-nyerib-u-sivani:s04_l15:9 rema = fled	needs_review	not_reviewed
rez	2	2	gespraech-mit-hassan:1; kauge-nyerib-u-hyeni:1	rez; re̱z	rez	vine; vineyard	gespraech-mit-hassan:h02_l12:1 rez = vine | kauge-nyerib-u-hyeni:h09_l10:2 rez = vineyard	needs_review	not_reviewed
rind	2	2	ali-agha-ladi-kelhani:1; degirmenci-ve-tilki:1	rınd; ri̥nd	rind	good; fine	ali-agha-ladi-kelhani:a02_l01:3 rınd = good | degirmenci-ve-tilki:mf04_l01:6 rınd = fine	needs_review	not_reviewed
ronist	2	2	ali-agha-ladi-kelhani:1; kauge-nyerib-u-hyeni:1	ronişt; rōníšt; rōníšt.	ronist	sat down; sat	ali-agha-ladi-kelhani:a02_l10:6 ronişt = sat down | kauge-nyerib-u-hyeni:h09_l04:5 ronişt = sat	needs_review	not_reviewed
sag	2	2	kauge-nyerib-u-sivani:1; uc-kardes-masali:1	sağ; saγ	sag	life	kauge-nyerib-u-sivani:s04_l09:3 sağ = life | uc-kardes-masali:tb05_l01:3 sağ	needs_review	not_reviewed
say	2	2	degirmenci-ve-tilki:1; goin-puhu-kusunun-hikayesi:1	şay; šai; šai,	sai	pasha; went	degirmenci-ve-tilki:mf02_l11:0 şay = pasha | goin-puhu-kusunun-hikayesi:g04_l07:1 şay = went	needs_review	not_reviewed
senyenu	2	2	gespraech-mit-hassan:1; kauge-nyerib-u-hyeni:1	sênyênu; seńén’u?; seńén’u,	senenu	how are; what happened to	gespraech-mit-hassan:h01_l01:2 sênyênu = how are | kauge-nyerib-u-hyeni:h04_l09:9 sênyênu = what happened to	needs_review	not_reviewed
tabure	2	2	kauge-nyerib-u-hyeni:1; kauge-nyerib-u-sivani:1	taburê; tā́bure; tā́bure	tabure	cartridges	kauge-nyerib-u-hyeni:h08_l05:6 taburê = cartridges | kauge-nyerib-u-sivani:s04_l12:7 taburê = cartridges	needs_review	not_reviewed
twede	2	2	degirmenci-ve-tilki:1; kauge-nyerib-u-hyeni:1	twêdê; túede; túede.	tuede	with you	degirmenci-ve-tilki:mf03_l05:3 twêdê = with you | kauge-nyerib-u-hyeni:h08_l11:1 twêdê = with you	needs_review	not_reviewed
vani	2	2	goin-puhu-kusunun-hikayesi:1; kauge-nyerib-u-sivani:1	vani; vā́ni	vani	you say	goin-puhu-kusunun-hikayesi:g03_l13:7 vani = you say | kauge-nyerib-u-sivani:s05_l06:4 vani = you say	needs_review	not_reviewed
vecaw	2	2	degirmenci-ve-tilki:1; uc-kardes-masali:1	vêcaw; ved̮aú:; Vêcaw; Ved̮aú	vedau	gave honor; came out	degirmenci-ve-tilki:mf04_l04:4 vêcaw = gave honor | uc-kardes-masali:tb02_l01:8 Vêcaw = came out	needs_review	not_reviewed
veci	2	2	ali-agha-ladi-kelhani:1; uc-kardes-masali:1	vêci; ved̮í,; veci; ve̱d̮í,	vedi	came out; leave	ali-agha-ladi-kelhani:a03_l03:9 vêci = came out | uc-kardes-masali:tb01_l04:2 veci = leave	needs_review	not_reviewed
venga	2	2	ali-agha-ladi-kelhani:1; kauge-nyerib-u-hyeni:1	venga; vé̱ṅga	venga	sound; Sound, Audio, Voice	ali-agha-ladi-kelhani:a01_l09:1 venga = sound | kauge-nyerib-u-hyeni:h05_l06:0 venga = Sound, Audio, Voice	needs_review	not_reviewed
vete	2	2	ali-agha-ladi-kelhani:1; goin-puhu-kusunun-hikayesi:1	vetê; vé̱te,; vé̱te	vete	pulled out	ali-agha-ladi-kelhani:a04_l02:10 vetê = pulled out | goin-puhu-kusunun-hikayesi:g03_l15:7 vetê = pulled out	needs_review	not_reviewed
wazenu	2	2	kauge-nyerib-u-sivani:1; uc-kardes-masali:1	wazênu; wazén’u; wazén’u	wastene	want; PRS.3SG	kauge-nyerib-u-sivani:s05_l09:2 wazênu = want; PRS.3SG | uc-kardes-masali:tb07_l04:2 wazênu = want; PRS.3SG	needs_review	not_reviewed
wedert	2	2	degirmenci-ve-tilki:1; goin-puhu-kusunun-hikayesi:1	wedert; we̱dé̱rt.; we̱dé̱rt,	wedert	buried	degirmenci-ve-tilki:mf05_l09:10 wedert = buried | goin-puhu-kusunun-hikayesi:g04_l03:5 wedert = buried	needs_review	not_reviewed
weni	2	2	kauge-nyerib-u-hyeni:1; kauge-nyerib-u-sivani:1	wêni; wén’i,; wén’i,	weni	cut	kauge-nyerib-u-hyeni:h07_l07:7 wêni = cut | kauge-nyerib-u-sivani:s02_l06:12 wêni = cut	needs_review	not_reviewed
weriste	2	2	degirmenci-ve-tilki:1; uc-kardes-masali:1	weriştê; we̱ríšte,; we̱ríšte	weriste	got up	degirmenci-ve-tilki:mf02_l10:1 weriştê = got up | uc-kardes-masali:tb06_l07:5 weriştê = got up	needs_review	not_reviewed
wexti	2	2	kauge-nyerib-u-hyeni:1; kauge-nyerib-u-sivani:1	wexti; wé̱χti; wé̱χti	wexti	time	kauge-nyerib-u-hyeni:h01_l07:8 wexti = time | kauge-nyerib-u-sivani:s02_l02:1 wexti = time	needs_review	not_reviewed
xatir	2	2	kauge-nyerib-u-sivani:1; uc-kardes-masali:1	xatır; χati̥r; χatí̥r	xatir	farewell	kauge-nyerib-u-sivani:s06_l03:3 xatır = farewell | uc-kardes-masali:tb06_l09:8 xatır = farewell	needs_review	not_reviewed
zeyndana	2	2	goin-puhu-kusunun-hikayesi:1; uc-kardes-masali:1	zêyndana; zeindā́na; zeindā́na	zeindana	from the pit; from the prison	goin-puhu-kusunun-hikayesi:g03_l15:6 zêyndana = from the pit | uc-kardes-masali:tb08_l07:2 zêyndana = from the prison	needs_review	not_reviewed
